Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Federico Valverde,uy URU,MF,25,37,33,2904.0,2.0,7.0,0.0,2.0,0.0,3.5,5.8,Real-Madrid
Antonio Rüdiger,de GER,DF,30,33,30,2709.0,1.0,0.0,0.0,7.0,0.0,1.5,1.2,Real-Madrid
Rodrygo,br BRA,FW,22,34,28,2380.0,10.0,5.0,0.0,2.0,0.0,11.7,4.0,Real-Madrid
Jude Bellingham,eng ENG,MF,20,28,27,2315.0,19.0,6.0,1.0,5.0,1.0,11.1,5.3,Real-Madrid
Dani Carvajal,es ESP,DF,31,28,25,2171.0,4.0,3.0,0.0,5.0,1.0,1.7,2.7,Real-Madrid
Toni Kroos,de GER,MF,33,33,24,2124.0,1.0,8.0,0.0,3.0,0.0,1.6,4.9,Real-Madrid
Aurélien Tchouaméni,fr FRA,"MF,DF",23,27,22,1987.0,3.0,1.0,0.0,7.0,0.0,1.3,0.9,Real-Madrid
Vinicius Júnior,br BRA,FW,23,26,22,1864.0,15.0,5.0,1.0,7.0,0.0,13.1,4.2,Real-Madrid
Andriy Lunin,ua UKR,GK,24,21,21,1890.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3,Real-Madrid
Eduardo Camavinga,fr FRA,"MF,DF",20,31,21,1817.0,0.0,2.0,0.0,9.0,0.0,0.9,1.4,Real-Madrid
Ferland Mendy,fr FRA,DF,28,23,21,1720.0,0.0,0.0,0.0,5.0,0.0,0.2,0.9,Real-Madrid
Nacho,es ESP,DF,33,29,18,1746.0,0.0,1.0,0.0,4.0,2.0,0.5,1.2,Real-Madrid
Luka Modrić,hr CRO,MF,37,32,18,1688.0,2.0,6.0,0.0,2.0,0.0,1.3,5.5,Real-Madrid
Brahim Díaz,ma MAR,"FW,MF",23,31,18,1545.0,8.0,6.0,0.0,0.0,0.0,5.7,4.4,Real-Madrid
Joselu,es ESP,FW,33,34,15,1687.0,10.0,2.0,0.0,1.0,0.0,11.6,1.7,Real-Madrid
Fran Garcia,es ESP,DF,23,25,15,1398.0,1.0,5.0,0.0,2.0,0.0,0.5,2.4,Real-Madrid
Lucas Vázquez,es ESP,DF,32,29,14,1419.0,3.0,6.0,0.0,0.0,0.0,1.2,3.8,Real-Madrid
David Alaba,at AUT,DF,31,14,14,1154.0,0.0,1.0,0.0,2.0,0.0,1.0,0.7,Real-Madrid
Kepa Arrizabalaga,es ESP,GK,28,14,13,1198.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Real-Madrid
Éder Militão,br BRA,DF,25,10,6,496.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Real-Madrid
Dani Ceballos,es ESP,"MF,FW",26,20,5,598.0,0.0,2.0,0.0,2.0,0.0,0.3,1.5,Real-Madrid
